"Item Code","Item Name","Brand","Category/Item Type","Unit","Stock","Alert Quantity","Sales Price","Tax","Status"
"IT020142","AMARON TUBULAR 200TT54HSN:8506SKU:","AMARON","AMARON AUTOMOBILE[ITEM]","PCS","0","2","14,200","GST 28%(28%)","Active"
"IT020141","AMARON TZ4HSN:8507SKU:","AMARON","AMARON MC[ITEM]","PCS","50","5","1,100","GST 28%(28%)","Active"
"IT020140","LUMINOUS XL 18060 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","21,900","GST 28%(28%)","Active"
"IT020139","LUMINOUS ILTT 28060 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","30,800","GST 28%(28%)","Active"
"IT020138","LUMINOUS UCTT 28066 TUBULAR BATTERYHSN:SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","29,200","GST 28%(28%)","Active"
"IT020137","LUMINOUS UCTT 26066 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","29,200","GST 28%(28%)","Active"
"IT020136","LUMINOUS ILTT 26066 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","28,900","GST 28%(28%)","Active"
"IT020135","LUMINOUS ILTT  26060 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","27,800","GST 28%(28%)","Active"
"IT020134","LUMINOUS UCTT 25066 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","26,800","GST 28%(28%)","Active"
"IT020133","LUMINOUS ILTT 25066 TUBULAT BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","0","2","26,500","GST 28%(28%)","Active"
"IT020132","LUMINOUS ILTT 25060 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","25,600","GST 28%(28%)","Active"
"IT020131","LUMINOUS RC 25000 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","22,900","GST 28%(28%)","Active"
"IT020130","LUMINOUS UCTT 24066 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","25,200","GST 28%(28%)","Active"
"IT020129","LUMINOUS ILTT 24066 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","24,800","GST 28%(28%)","Active"
"IT020128","LUMINOUS ILTT 24060 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","24,000","GST 28%(28%)","Active"
"IT020127","LUMINOUS ILTT 20060 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","20,100","GST 28%(28%)","Active"
"IT020126","LUMINOUS ILTJ 24036 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","20,700","GST 28%(28%)","Active"
"IT020125","LUMINOUS RC 24000 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","21,100","GST 28%(28%)","Active"
"IT020124","LUMINOUS PC 20042 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","19,200","GST 28%(28%)","Active"
"IT020123","LUMINOUS UCTT 18066 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","22,200","GST 28%(28%)","Active"
"IT020122","LUMINOUS LM 18075 TUBULAR BATTERYHSN:SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","26,000","GST 28%(28%)","Active"
"IT020121","LUMINOUS ILTT 18060 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","20,100","GST 28%(28%)","Active"
"IT020120","LUMINOUS EC 18060 TUBULAR  BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","19,800","GST 28%(28%)","Active"
"IT020119","LUMINOUS ECO 18000 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","18,800","GST 28%(28%)","Active"
"IT020118","LUMINOUS SC 18060 TUBULAR BATTERYHSN:SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","19,700","GST 28%(28%)","Active"
"IT020117","LUMINOUS ILTT 18000N TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","19,700","GST 28%(28%)","Active"
"IT020116","LUMINOUS PC 18042 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","19,100","GST 28%(28%)","Active"
"IT020115","LUMINOUS RC 18000 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","18,400","GST 28%(28%)","Active"
"IT020114","LUMINOUS NEO 18030 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","17,600","GST 28%(28%)","Active"
"IT020113","LUMINOUS PC 18042TJ  TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","5","2","18,800","GST 28%(28%)","Active"
"IT020112","LUMINOUS RC 18042ST XL TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","18,600","GST 28%(28%)","Active"
"IT020111","LUMINOUS RC 18000ST TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","18,200","GST 28%(28%)","Active"
"IT020110","LUMINOUS ILTJ 18148 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","19,500","GST 28%(28%)","Active"
"IT020109","LUMINOUS SC 16060 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","17,500","GST 28%(28%)","Active"
"IT020108","LUMINOUS SC 16054  TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","17,100","GST 28%(28%)","Active"
"IT020107","LUMINOUS RC 15000 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","14,500","GST 28%(28%)","Active"
"IT020106","LUMINOUS SC 12054 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","16,700","GST 28%(28%)","Active"
"IT020105","LUMINOUS ILST 12042 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","13,400","GST 28%(28%)","Active"
"IT020104","LUMINOUS ILST 10036 TUBULAR  BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","11,100","GST 28%(28%)","Active"
"IT020103","LUMINOUS ILST 8036 TUBULAR BATTERYHSN:85071000SKU:","LUMINOUS","LUMINORS TUBULAR[ITEM]","PCS","5","2","9,100","GST 28%(28%)","Active"
"IT020102","LUMINOUS ECO WATT XL RAPID 1650 SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","14,000","GST 18%(18%)","Active"
"IT020101","LUMINOUS ECO WATT +RAPID 1250  SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","9,550","GST 18%(18%)","Active"
"IT020100","LUMINOUS SAKTHI CHARGE +1450 SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","9,750","GST 18%(18%)","Active"
"IT020099","LUMINOUS SAKTHI CHARGE +1150 SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","9,150","GST 18%(18%)","Active"
"IT020098","LUMINOUS ECO WATT NEO 1650 SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","10,150","GST 18%(18%)","Active"
"IT020097","LUMINOUS ECO WATT NEO 1250 SQARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","9,550","GST 18%(18%)","Active"
"IT020096","LUMINOUS ECO WATT NEO 1050 SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","8,550","GST 18%(18%)","Active"
"IT020095","LUMINOUS ECO WATT NEO 950  SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","7,200","GST 18%(18%)","Active"
"IT020094","LUMINOUS ECO WATT NEO 900 SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","6,700","GST 18%(18%)","Active"
"IT020093","LUMINOUS ECO WATT NEO 800 SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","6,200","GST 18%(18%)","Active"
"IT020092","LUMINOUS ECO WATT NEO 700 SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","5,900","GST 18%(18%)","Active"
"IT020090","LUMINOUS ECO WATT NEO 400 SQUARE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","5,400","GST 18%(18%)","Active"
"IT020089","LUMINOUS ZELIO WIFI 1700 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","13,100","GST 18%(18%)","Active"
"IT020088","LUMINOUS ZELIO WIFI 1100 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","11,100","GST 18%(18%)","Active"
"IT020087","LUMINOUS ZELIO 1700I SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","12,800","GST 18%(18%)","Active"
"IT020086","LUMINOUS ZELIO 1100/ SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","99","5","10,300","GST 18%(18%)","Active"
"IT020085","LUMINOUS ZELIO+1700 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","12,500","GST 18%(18%)","Active"
"IT020084","LUMINOUS ZELIO SMART 1100 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","10,000","GST 18%(18%)","Active"
"IT020083","LUMINOUS ECO VOLT NEO 1650 SINE WAVEHSN:85044090SKU:","LUMINOUS","LUMINOUS UPS[ITEM]","PCS","100","5","11,200","GST 18%(18%)","Active"
