ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,PRICE AFTER TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
0.2 Royale Glitter Gold All Shades,Interior,AP1100,,PIECES,5,asianpaints,,334,334,Tax,0,Inclusive,445,0,11100,0,,Percentage,,445
0.91 Royale Glitter Gold All Shades,Interior,AP1101,,PIECES,5,asianpaints,,1614,1614,Tax,0,Inclusive,2151,0,11101,0,,Percentage,,2151
3.64 Royale Glitter Gold All Shades,Interior,AP1102,,PIECES,5,asianpaints,,6238,6238,Tax,0,Inclusive,8312,0,11102,0,,Percentage,,8312
0.2 Royale Glitter Silver All Shades,Interior,AP1103,,PIECES,5,asianpaints,,246,246,Tax,0,Inclusive,328,0,11103,0,,Percentage,,328
0.91 Royale Glitter Silver All Shades,Interior,AP1104,,PIECES,5,asianpaints,,1146,1146,Tax,0,Inclusive,1527,0,11104,0,,Percentage,,1527
3.64 Royale Glitter Silver All Shades,Interior,AP1105,,PIECES,5,asianpaints,,4394,4394,Tax,0,Inclusive,5855,0,11105,0,,Percentage,,5855
0.91 Healthshield  All Shades,Interior,AP1106,,PIECES,5,asianpaints,,757,757,Tax,0,Inclusive,908,0,11106,0,,Percentage,,908
3.64 Healthshield  All Shades,Interior,AP1107,,PIECES,5,asianpaints,,2957,2957,Tax,0,Inclusive,3547,0,11107,0,,Percentage,,3547
9 Healthshield  All Shades,Interior,AP1108,,PIECES,5,asianpaints,,7143,7143,Tax,0,Inclusive,8571,0,11108,0,,Percentage,,8571
0.91 Healthshield Br. Whilte,Interior,AP1109,,PIECES,5,asianpaints,,708,708,Tax,0,Inclusive,849,0,11109,0,,Percentage,,849
3.64 Healthshield Br. Whilte,Interior,AP1110,,PIECES,5,asianpaints,,2760,2760,Tax,0,Inclusive,3314,0,11110,0,,Percentage,,3314
9 Healthshield Br. Whilte,Interior,AP1111,,PIECES,5,asianpaints,,6669,6669,Tax,0,Inclusive,8008,0,11111,0,,Percentage,,8008
9 Shyne Br. White,Interior,AP1112,,PIECES,5,asianpaints,,5688,5688,Tax,0,Inclusive,6847,0,11112,0,,Percentage,,6847
3.64 Shyne Br. White,Interior,AP1113,,PIECES,5,asianpaints,,2399,2399,Tax,0,Inclusive,2886,0,11113,0,,Percentage,,2886
0.91 Shyne Br. White,Interior,AP1114,,PIECES,5,asianpaints,,674,674,Tax,0,Inclusive,809,0,11114,0,,Percentage,,809
9 Silk BR White ,Interior,AP1115,,PIECES,5,asianpaints,,5137,5137,Tax,0,Inclusive,6084,0,11115,0,,Percentage,,6084
