ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,PRICE AFTER TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
BRIGHT 1.5A V8 CHARGER,CHARGER,,,PCS,1,,,72.03389831,85,Tax 18%,18,Inclusive,250,5,,,,,,
BRIGHT 2.2A V8 CHARGER,CHARGER,,,PCS,1,,,76.27118644,90,Tax 18%,18,Inclusive,300,4,,,,,,
BRIGHT 3.3 AMP  TYPE C CHARGER,CHARGER,,,PCS,1,,,127.1186441,150,Tax 18%,18,Inclusive,400,1,,,,,,
BRIGHT JIO CHARGER,CHARGER,,,PCS,1,,,42.37288136,50,Tax 18%,18,Inclusive,150,4,,,,,,
C OTG CABLE,CABLE,,,PCS,1,,,42.37288136,50,Tax 18%,18,Inclusive,99,0,,,,,,
C TYPE H/F CONNECTOR,CONNECTOR,,,PCS,1,,,38.13559322,45,Tax 18%,18,Inclusive,99,5,,,,,,
C TYPE OTG CONNECTOR,CONNECTOR,,,PCS,1,,,29.66101695,35,Tax 18%,18,Inclusive,99,9,,,,,,
C TYPE PB CABLE,CABLE,,,PCS,1,,,29.66102,35,Tax 18%,18,Inclusive,99,1,,,,,,
CARD READER,CARD READER,,,PCS,1,,,11.86440678,14,Tax 18%,18,Inclusive,50,9,,,,,,
CARVAAN 2.4INCH W/C M21,KEYPAD MOBILE,,,PCS,1,,,1660.169492,1959,Tax 18%,18,Inclusive,2500,3,,,,,,
CARVAAN W/O 1.8 INCH M11,KEYPAD MOBILE,,,PCS,1,,,1660.169,1959,Tax 18%,18,Inclusive,2500,1,,,,,,
CARVAANN 1.8 INCH W/O CAMERA,KEYPAD MOBILE,,,PCS,1,,,1076.271186,1270,Tax 18%,18,Inclusive,1800,0,,,,,,
CELL JOY IPH CABLE,CABLE,,,PCS,1,,,27.96610169,33,Tax 18%,18,Inclusive,250,2,,,,,,
COLOURS AIR PODS,AIR PODS,,,PCS,1,,,194.9153,230,Tax 18%,18,Inclusive,500,1,,,,,,
CROME BACK CASE,BACK CASE,,,PCS,1,,,50.84745763,60,Tax 18%,18,Inclusive,200,0,,,,,,
EXILITY V8 CABLE 1,CABLE,,,PCS,1,,,17.79661017,21,Tax 18%,18,Inclusive,100,0,,,,,,
FINGERS TYPE C CHARGER,CHARGER,,,PCS,1,,,152.5423729,180,Tax 18%,18,Inclusive,450,3,,,,,,
FINGERS TYPE V8 CHARGER,CHARGER,,,PCS,1,,,152.5423729,180,Tax 18%,18,Inclusive,450,1,,,,,,
FLIP POUCH,BACK CASE,,,PCS,1,,,76.27118644,90,Tax 18%,18,Inclusive,300,206,,,,,,
FOXIN  BT NECKBAND 131,NECKBAND,,,PCS,1,,,550.8474576,650,Tax 18%,18,Inclusive,1400,2,,,,,,
FOXIN 2.1 AMP V8 CHARGER,CHARGER,,,PCS,1,,,161.0169492,190,Tax 18%,18,Inclusive,400,2,,,,,,
FOXIN 2.4 AMP TYPE C CHARGER,CHARGER,,,PCS,1,,,194.9152542,230,Tax 18%,18,Inclusive,500,7,,,,,,
FOXIN 2.4A V8 CAR CHARGER,CHARGER,,,PCS,1,,,165.2542373,195,Tax 18%,18,Inclusive,500,4,,,,,,
FOXIN 3 IN 1 CABLE,CABLE,,,PCS,1,,,165.2542373,195,Tax 18%,18,Inclusive,400,4,,,,,,
FOXIN 3 IN 1 QUALITY  NYLON BRAIDED,CABLE,,,PCS,1,,,186.440678,220,Tax 18%,18,Inclusive,450,3,,,,,,
FOXIN BOOM B/H/F THUMP FWH-225,HEADPHONE,,,PCS,1,,,720.3389831,850,Tax 18%,18,Inclusive,1500,1,,,,,,
FOXIN C TYPE CABLE,CABLE,,,PCS,1,,,66.10169492,78,Tax 18%,18,Inclusive,250,19,,,,,,
FOXIN C TYPE H/F CM5,HEADPHONE,,,PCS,1,,,211.8644068,250,Tax 18%,18,Inclusive,500,2,,,,,,
FOXIN EAR BUDDS F9,AIR PODS,,,PCS,1,,,932.2033898,1100,Tax 18%,18,Inclusive,2000,2,,,,,,
FOXIN FOXPODS C5 air budds,AIR PODS,,,PCS,1,,,761.8644068,899,Tax 18%,18,Inclusive,1500,1,,,,,,
FOXIN H/F A1,HEADPHONE,,,PCS,1,,,97.45762712,115,Tax 18%,18,Inclusive,350,1,,,,,,
FOXIN H/F A2,HEADPHONE,,,PCS,1,,,97.4563,115,Tax 18%,18,Inclusive,350,3,,,,,,
FOXIN H/F B2,HEADPHONE,,,PCS,1,,,110.1695,130,Tax 18%,18,Inclusive,350,5,,,,,,
FOXIN H/F B3,HEADPHONE,,,PCS,1,,,110.1695,130,Tax 18%,18,Inclusive,350,1,,,,,,
FOXIN H/F B5,HEADPHONE,,,PCS,1,,,110.1694915,130,Tax 18%,18,Inclusive,350,4,,,,,,
FOXIN H/F B9,HEADPHONE,,,PCS,1,,,110.1694915,130,Tax 18%,18,Inclusive,400,9,,,,,,
FOXIN H/F M6,HEADPHONE,,,PCS,1,,,168.6440678,199,Tax 18%,18,Inclusive,450,3,,,,,,
