ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,PRICE AFTER TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
AUNTIE B SEMOLINA 1KG,FMCG,,,KG,,,,"5,975","5,975",VAT,0.00%,Inclusive,"5,700",75,,,,,,
AUNTIE B SEMOLINA 5KG,FMCG,,,KG,,,,"2,883","2,883",VAT,0.00%,Inclusive,"2,750",280,,,,,,
AUNTIE B SPAGHETTI SLIM 500G,FMCG,,,Carton,,,,"6,530","6,530",VAT,0.00%,Inclusive,"6,350",202,,,,,,
AUNTY B SPAGHETTI STANDARD,FMCG,,,Carton,,,,"6,530","6,530",VAT,0.00%,Inclusive,"6,350",0,,,,,,
B B RICE 10KG,FMCG,,,Bag,,,,"5,775","5,775",VAT,0.00%,Inclusive,"5,775",27,,,,,,
B B RICE 2.25KG,FMCG,,,Bag,,,,"9,030","9,030",VAT,0.00%,Inclusive,"9,030",0,,,,,,
B B RICE 25KG,FMCG,,,Bag,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
B B RICE 50KG,FMCG,,,Bag,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
B B RICE 5KG,FMCG,,,Bag,,,,"3,000","3,000",VAT,0.00%,Inclusive,"3,000",28,,,,,,
B B RICE 750G,FMCG,,,Bag,,,,"8,720","8,720",VAT,0.00%,Inclusive,"8,720",0,,,,,,
BTF 25 LITRE OIL,FMCG,,,Keg,,,,"30,000","30,000",VAT,0.00%,Inclusive,"30,000",0,,,,,,
BTF 4 LITRE OIL,FMCG,,,Carton,,,,"19,056","19,056",VAT,0.00%,Inclusive,"19,200",0,,,,,,
BTF VEG OIL 3LTR,FMCG,,,Carton,,,,"21,440","21,440",VAT,0.00%,Inclusive,"21,600",0,,,,,,
BTF VEG OIL 450ML,FMCG,,,Carton,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
BTF ZESTY LEMON 450ML BOTTLE,FMCG,,,Satchet,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
BUA PASTA SLIM 500G,FMCG,,,Carton,,,,"6,910","6,910",VAT,0.00%,Inclusive,"6,700",0,,,,,,
BUA SPAGHETTI 500G,FMCG,,,Carton,,,,"6,910","6,910",VAT,0.00%,Inclusive,"6,700",204,,,,,,
BUA SPAGHETTI SELFIE 500G,FMCG,,,G,,,,"7,695","7,695",VAT,0.00%,Inclusive,0,0,,,,,,
BUA TWIST CAVATTO (MACARONI),FMCG,,,Carton,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
CROWN PREMIUM MACARONI 200G,FMCG,,,Carton,,,,"7,935","7,935",VAT,0.00%,Inclusive,"8,000",0,,,,,,
CROWN PREMIUM MACARONI 500G,FMCG,,,Carton,,,,"7,735","7,735",VAT,0.00%,Inclusive,"7,800",0,,,,,,
CROWN PREMIUM SELFIE 200G,FMCG,,,Carton,,,,"5,660","5,660",VAT,0.00%,Inclusive,0,0,,,,,,
CROWN PREMIUM SLIM 500G,FMCG,,,Carton,,,,"6,690","6,690",VAT,0.00%,Inclusive,"7,250",547,,,,,,
CROWN PREMIUM SPAGHETTI 500G,FMCG,,,Carton,,,,"6,690","6,690",VAT,0.00%,Inclusive,"7,250",0,,,,,,
DANGOTE SALT 50KG,FMCG,,,Carton,,,,"7,000.44","7,000.44",VAT,0.00%,Inclusive,"7,200",895,,,,,,
DANGOTE SALT BY 20,FMCG,,,Carton,,,,"3,400","3,400",VAT,0.00%,Inclusive,"3,500",0,,,,,,
DANGOTE SALT BY 40,FMCG,,,Bag,,,,"3,600","3,600",VAT,0.00%,Inclusive,"3,700",0,,,,,,
DANGOTE SALT BY 80,FMCG,,,Bag,,,,"3,800","3,800",VAT,0.00%,Inclusive,"3,900",0,,,,,,
DANGOTE SEMOLINA 10KG,FMCG,,,Bag,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
DANGOTE SEMOLINA 1KG,FMCG,,,Bag,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
DANGOTE SEMOLINA 5KG,FMCG,,,Bag,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
DANGOTE SUGA 50KG,FMCG,,,Bag,,,,"28,250","28,250",VAT,0.00%,Inclusive,"29,200",335,,,,,,
DIAMOND SALT 50KG,FMCG,,,Bag,,,,"4,500","4,500",VAT,0.00%,Inclusive,"5,000",1,,,,,,
EMPEROR 1000ML,FMCG,,,Carton,,,,"15,450","15,450",VAT,0.00%,Inclusive,"15,600",140,,,,,,
EMPEROR 700ML,FMCG,,,Carton,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
EMPEROR 70CL,FMCG,,,Carton,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
EMPEROR 75CL,FMCG,,,Carton,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
EMPROR 1 LITRE VEG OIL,FMCG,,,Carton,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
EMPROR 25 LITRE VEGETABLE OIL,FMCG,,,Carton,,,,"29,000","29,000",VAT,0.00%,Inclusive,"29,800",513,,,,,,
EMPROR 5 LITRE VEGETABLE OIL,FMCG,,,Carton,,,,"25,600","25,600",VAT,0.00%,Inclusive,"26,000",0,,,,,,
EMPROR 500ML VEGETABLE OIL,FMCG,,,Carton,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
EMPROR 700ML VEG OIL,FMCG,,,Carton,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN BREAKFAST CEREAL 50G X 100,FMCG,,,Carton,,,,"7,915","7,915",VAT,0.00%,Inclusive,"8,500",0,,,,,,
GOLDEN BREAKFAST CEREAL 600G X 12,FMCG,,,Carton,,,,"9,410","9,410",VAT,0.00%,Inclusive,"9,550",0,,,,,,
GOLDEN BREAKFAST CEREAL 600G X 6,FMCG,,,Carton,,,,"4,705","4,705",VAT,0.00%,Inclusive,"4,850",0,,,,,,
GOLDEN MARGARINE 15KG,FMCG,,,Carton,,,,"17,050","17,050",VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY COUSCOUS,FMCG,,,KG,,,,"7,925","7,925",VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY ELICHE,FMCG,,,Carton,,,,0,0,VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY GARRI 1 KG,FMCG,,,Bag,,,,"4,930","4,930",VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY GARRI 100G,FMCG,,,Carton,,,,"3,850","3,850",VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY GARRI 150G X 36,FMCG,,,Carton,,,,"3,850","3,850",VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY GARRI 5KG,FMCG,,,Bag,,,,"2,420","2,420",VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY JOLLOF 70G X 40,FMCG,,,Carton,,,,"2,990","2,990",VAT,0.00%,Inclusive,"3,000",298,,,,,,
GOLDEN PENNY JOLLOF RICE 70G X 20,FMCG,,,Satchet,,,,"1,533","1,533",VAT,0.00%,Inclusive,"1,600",0,,,,,,
GOLDEN PENNY MACARONI 500G,FMCG,,,G,,,,"7,895","7,895",VAT,0.00%,Inclusive,"7,700",0,,,,,,
GOLDEN PENNY MAGRINE 250G X 24,FMCG,,,Carton,,,,"7,950","7,950",VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY MAGRINE 450GX24,FMCG,,,Carton,,,,"13,150","13,150",VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY MARGARINE 10KG,FMCG,,,Carton,,,,"11,400","11,400",VAT,0.00%,Inclusive,0,0,,,,,,
GOLDEN PENNY NOODLES 100G,FMCG,,,Carton,,,,"3,902","3,902",VAT,0.00%,Inclusive,"4,000",0,,,,,,
