ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,PRICE AFTER TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
0.91 Shyne Br. White,Interior,AP1114,,PIECES,5,asianpaints,,674,674,Tax,0,Inclusive,809,0,11114,0,,Percentage,,809
9 Silk BR White ,Interior,AP1115,,PIECES,5,asianpaints,,5137,5137,Tax,0,Inclusive,6084,0,11115,0,,Percentage,,6084
3.64 Silk BR White ,Interior,AP1116,,PIECES,5,asianpaints,,2166,2166,Tax,0,Inclusive,2565,0,11116,0,,Percentage,,2565
0.91 Silk BR White ,Interior,AP1117,,PIECES,5,asianpaints,,608,608,Tax,0,Inclusive,720,0,11117,0,,Percentage,,720
18 SMART CLEAN PE  All Shades,Interior,AP1118,,PIECES,5,asianpaints,,6906,6906,Tax,0,Inclusive,8799,0,11118,0,,Percentage,,8799
3.64 SMART CLEAN PE  All Shades,Interior,AP1119,,PIECES,5,asianpaints,,1500,1500,Tax,0,Inclusive,1853,0,11119,0,,Percentage,,1853
0.91 SMART CLEAN PE  All Shades,Interior,AP1120,,PIECES,5,asianpaints,,413,413,Tax,0,Inclusive,508,0,11120,0,,Percentage,,508
18 Apcolite Premium Emulsion ,Interior,AP1121,,PIECES,5,asianpaints,,5490,5490,Tax,0,Inclusive,7038,0,11121,0,,Percentage,,7038
3.64 Apcolite Premium Emulsion ,Interior,AP1122,,PIECES,5,asianpaints,,1209,1209,Tax,0,Inclusive,1481,0,11122,0,,Percentage,,1481
0.91 Apcolite Premium Emulsion ,Interior,AP1123,,PIECES,5,asianpaints,,332,332,Tax,0,Inclusive,405,0,11123,0,,Percentage,,405
18 Tractor Emulson – All Shades,Interior,AP1124,,PIECES,5,asianpaints,,4345,4345,Tax,0,Inclusive,5348,0,11124,0,,Percentage,,5348
3.64 Tractor Emulson – All Shades,Interior,AP1125,,PIECES,5,asianpaints,,944,944,Tax,0,Inclusive,1140,0,11125,0,,Percentage,,1140
0.91 Tractor Emulson – All Shades,Interior,AP1126,,PIECES,5,asianpaints,,258,258,Tax,0,Inclusive,311,0,11126,0,,Percentage,,311
"18 Tractor Emulson (White,green,blue,yellow,red)",Interior,AP1127,,PIECES,5,asianpaints,,4860,4860,Tax,0,Inclusive,5958,0,11127,0,,Percentage,,5958
"3.64 Tractor Emulson (White,green,blue,yellow,red)",Interior,AP1128,,PIECES,5,asianpaints,,1062,1062,Tax,0,Inclusive,1280,0,11128,0,,Percentage,,1280
"0.91 Tractor Emulson (White,green,blue,yellow,red)",Interior,AP1129,,PIECES,5,asianpaints,,294,294,Tax,0,Inclusive,354,0,11129,0,,Percentage,,354
18 Utshob Super Saver Emulsion ,Interior,AP1130,,PIECES,5,asianpaints,,2810,2810,Tax,0,Inclusive,3885,0,11130,0,,Percentage,,3885
3.64 Utshob Super Saver Emulsion ,Interior,AP1131,,PIECES,5,asianpaints,,621,621,Tax,0,Inclusive,817,0,11131,0,,Percentage,,817
0.91 Utshob Super Saver Emulsion ,Interior,AP1132,,PIECES,5,asianpaints,,178,178,Tax,0,Inclusive,233,0,11132,0,,Percentage,,233
